Borough,Neighborhood,Lat,Lng,ID,Name,Likes,Rating,Tips
Manhattan,Carnegie Hill,40.78380094013877,-73.95668704790415,563633d6498eb48583296b62,Noglu,31,7.9,20
Manhattan,Noho,40.72120722693385,-73.98869021932823,553e9f0c498ee150ff0fb0a1,Insomnia Cookies,42,8.6,10
Manhattan,Noho,40.71996882192281,-73.99002536853604,5b5266fd8d0a53002ce074e4,Joey Bats Cafe,24,8.9,8
Manhattan,Civic Center,40.71707213063327,-74.00660521707641,537b5258498e262a54b47216,Arcade Bakery,283,9.5,79
Manhattan,Civic Center,40.7163977921964,-74.00503245546732,55c9f1d4498ec54b4dc2b3b9,Woops!,41,8.3,8
Manhattan,Civic Center,40.713652845301894,-74.0088038953017,4c154c9a77cea593c401d260,Takahachi Bakery,647,9.3,197
Manhattan,Civic Center,40.717893769266055,-74.0044555917205,4a41578df964a52028a51fe3,Billy's Bakery,69,8.1,59
Manhattan,Civic Center,40.718883589638345,-74.00497068897842,54346275498e3d6955212743,Baked,263,8.5,64
Manhattan,Midtown South,40.747923074645605,-73.9871543940469,4fe4c53fe4b065cd6ec6b9e9,Tous Les Jours,518,8.3,157
Manhattan,Midtown South,40.747191,-73.986069,4c892b0f7223b1f7dfb031a8,Paris Baguette,325,8.3,158
Manhattan,Midtown South,40.74703291082798,-73.98508913978884,5aad4270fdb9a77b0beaf14f,Keki Modern Cakes,27,8.8,7
Staten Island,Clifton,40.61664818215606,-74.06807005405426,4e50110d81308c328c68d02f,Jackie's Cake Boutique,0,0,0
Brooklyn,Mill Basin,40.61352499162599,-73.9123473320899,4fa01114771667127b8c59d3,Duet Bakery,8,7.4,3
Queens,Utopia,40.73023643644892,-73.79347572478684,55eb1739498e930c946c0107,Lulu's Bakery,0,0,0
Queens,Astoria Heights,40.76810385477303,-73.8947197680026,4bed5e663372c928137f1114,Friendly Bakery,4,6.6,5
Bronx,Claremont Village,40.83054,-73.8971,4f3263e619836c91c7d31de0,Johnny's Bakery,0,0,0
Manhattan,Sutton Place,40.76191895111942,-73.96639659157101,4e7393931495dffb8efa57da,Magnolia Bakery,419,9.1,131
Manhattan,Sutton Place,40.756645146573284,-73.96681654390507,528c0a8411d22d20135e7756,Eclair Bakery,133,8.7,35
Queens,Hunters Point,40.746012,-73.955319,544a5572498e767f7736dc5c,Cannelle LIC,89,7.8,27
Manhattan,Turtle Bay,40.75598459662436,-73.96776579040562,46102377f964a52025451fe3,Buttercup Bake Shop,97,8.6,68
Manhattan,Flatiron,40.74000342692664,-73.9897301549147,51e729c2498eb3383944116b,Maison Kayser,750,8.8,182
Manhattan,Flatiron,40.73878463940231,-73.9925590115783,4079dc00f964a52070f21ee3,The City Bakery,1288,8.7,663
Manhattan,Flatiron,40.73661,-73.99181,503fb6d4ebca66a84f029bd8,Breads Bakery,1195,9.4,305
Queens,Sunnyside Gardens,40.742535689872454,-73.91887849700034,5834df25102f475d15a3cd1a,Paris Baguette,21,8.5,3
Brooklyn,Fulton Ferry,40.70332768198457,-73.99125319992555,43504680f964a520b0281fe3,Almondine Bakery,258,8.7,144
Brooklyn,Fulton Ferry,40.70331749805021,-73.99069403085525,4f21bb85e5e872143c0ca04b,One Girl Cookies,501,8.4,169
Brooklyn,Vinegar Hill,40.70257934186069,-73.98670150974452,52b204c0498efe3c3be32d91,Burrow,137,9.3,31
Brooklyn,Dumbo,40.70257934186069,-73.98670150974452,52b204c0498efe3c3be32d91,Burrow,137,9.3,31
Brooklyn,Dumbo,40.70332768198457,-73.99125319992555,43504680f964a520b0281fe3,Almondine Bakery,258,8.7,144
Brooklyn,Dumbo,40.70331749805021,-73.99069403085525,4f21bb85e5e872143c0ca04b,One Girl Cookies,501,8.4,169
Brooklyn,Homecrest,40.59889803232378,-73.9561624010064,4c9e27ea54c8a1cdabb68a4b,Ka Ka Bakery,7,6.8,8
Queens,Middle Village,40.712880896825084,-73.87826234966988,4fbd034be4b0d314f1cb2d5f,Las Tias Cafe Bakery,5,7.5,5
